<<<<<<< HEAD
﻿n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model,remove_multicoli,balancing_sampling_technique,Model,accuracy,f1,precision,recall
11,nothing,MICE,BoS__shap,Yes,ROSE,RF,0.8185,0.2963,0.2000,0.5714
23,NaN,knn__distance,RFE__RF,Yes,SMOTE,RF,0.8376,0.2817,0.2000,0.4762
31,3s,knn__uniform,RFE__RF,No,ADASYN,RF,0.8567,0.2623,0.2000,0.3810
25,3s,knn__distance,RFE__RF,Yes,SMOTE,RF,0.8662,0.2500,0.2000,0.3333
12,nothing,knn__uniform,BoS__shap,Yes,SMOTE,RF,0.8248,0.2857,0.1964,0.5238
26,3s,knn__distance,RFE__RF,Yes,ROSE,RF,0.8248,0.2857,0.1964,0.5238
11,nothing,MICE,BoS__shap,Yes,SMOTE,RF,0.8217,0.2821,0.1930,0.5238
14,3s,knn__uniform,BoS__shap,Yes,ADASYN,RF,0.8217,0.2821,0.1930,0.5238
27,3s,MICE,RFE__SVM,Yes,SMOTE,RF,0.8312,0.2740,0.1923,0.4762
19,3s,knn__uniform,BoS__shap,No,SMOTE,RF,0.8185,0.2785,0.1897,0.5238
10,3s,knn__uniform,BoS__shap,Yes,SMOTEENN,RF,0.7866,0.2947,0.1892,0.6667
24,3s,MICE,RFE__RF_30,Yes,ADASYN,LR,0.7962,0.2889,0.1884,0.6190
12,3s,knn__distance,BoS__shap,Yes,SMOTEENN,RF,0.7643,0.3019,0.1882,0.7619
14,3s,MICE,BoP,Yes,ROSE,RF,0.8057,0.2824,0.1875,0.5714
29,3s,MICE,RFE__SVM,Yes,ADASYN,RF,0.8376,0.2609,0.1875,0.4286
25,3s,MICE,RFE__RF_30,Yes,SMOTEENN,RF,0.7834,0.2917,0.1867,0.6667
19,3s,knn__uniform,BoS__shap,No,SMOTEENN,RF,0.7611,0.2991,0.1860,0.7619
25,3s,MICE,RFE__RF_30,Yes,ADASYN,RF,0.8471,0.2500,0.1860,0.3810
12,3s,knn__uniform,BoP,Yes,ROSE,RF,0.7930,0.2857,0.1857,0.6190
14,3s,knn__uniform,RFE__RF_15,Yes,ROSE,RF,0.8025,0.2791,0.1846,0.5714
12,nothing,knn__uniform,BoS__shap,Yes,ROSE,RF,0.8025,0.2791,0.1846,0.5714
14,nothing,MICE,BoP,Yes,SMOTE,RF,0.8025,0.2791,0.1846,0.5714
26,NaN,knn__distance,RFE__RF,Yes,ADASYN,RF,0.8344,0.2571,0.1837,0.4286
23,NaN,knn__uniform,RFE__RF,Yes,ADASYN,NN,0.8344,0.2571,0.1837,0.4286
10,3s,MICE,BoS__shap,Yes,ROSE,RF,0.8121,0.2716,0.1833,0.5238
13,3s,MICE,BoP,Yes,SMOTE,RF,0.8121,0.2716,0.1833,0.5238
13,3s,MICE,RFE__RF_15,Yes,SMOTE,RF,0.8121,0.2716,0.1833,0.5238
18,3s,knn__uniform,BoS__shap,No,ADASYN,RF,0.8121,0.2716,0.1833,0.5238
11,nothing,knn__uniform,BoP,Yes,ROSE,RF,0.7898,0.2826,0.1831,0.6190
25,NaN,knn__uniform,RFE__RF,Yes,SMOTE,RF,0.8439,0.2462,0.1818,0.3810
10,NaN,knn__uniform,BoS__shap,Yes,SMOTE,RF,0.8185,0.2597,0.1786,0.4762
14,nothing,knn__uniform,RFE__RF,Yes,ROSE,RF,0.7834,0.2766,0.1781,0.6190
11,NaN,knn__uniform,BoS__shap,Yes,ROSE,RF,0.8057,0.2651,0.1774,0.5238
14,nothing,MICE,BoP,Yes,ROSE,RF,0.7930,0.2697,0.1765,0.5714
14,3s,knn__uniform,BoS__shap,Yes,ROSE,RF,0.8631,0.2182,0.1765,0.2857
31,3s,knn__uniform,RFE__SVM,No,SMOTE,RF,0.8248,0.2466,0.1731,0.4286
31,3s,knn__uniform,RFE__RF,No,ADASYN,LR,0.7643,0.2745,0.1728,0.6667
31,3s,knn__uniform,RFE__RF,No,SMOTE,RF,0.8344,0.2353,0.1702,0.3810
12,nothing,MICE,RFE__RF,Yes,SMOTE,RF,0.8089,0.2500,0.1695,0.4762
24,3s,knn__uniform,RFE__RF,Yes,ADASYN,NN,0.7962,0.2558,0.1692,0.5238
11,3s,MICE,BoS__shap,Yes,ROSE,LR,0.7803,0.2581,0.1667,0.5714
10,3s,knn__distance,BoS__shap,Yes,ROSE,RF,0.7930,0.2529,0.1667,0.5238
31,3s,knn__uniform,RFE__RF,No,ROSE,LR,0.7930,0.2529,0.1667,0.5238
25,3s,MICE,RFE__RF_30,Yes,SMOTE,RF,0.8567,0.2105,0.1667,0.2857
5,nothing,knn__uniform,BoS__shap,Yes,ADASYN,NN,0.8567,0.2105,0.1667,0.2857
15,3s,knn__uniform,BoS__shap,No,ADASYN,LR,0.7643,0.2600,0.1646,0.6190
18,3s,knn__uniform,BoS__shap,No,ROSE,LR,0.7771,0.2553,0.1644,0.5714
15,3s,knn__uniform,BoS__shap,No,ROSE,RF,0.8280,0.2286,0.1633,0.3810
31,3s,knn__uniform,RFE__RF,No,SMOTE,LR,0.7611,0.2574,0.1625,0.6190
13,3s,knn__uniform,BoP,Yes,SMOTE,RF,0.7866,0.2472,0.1618,0.5238
15,3s,MICE,RFE__RF_15,Yes,ROSE,RF,0.7866,0.2472,0.1618,0.5238
5,3s,MICE,BoS__gini,Yes,ROSE,RF,0.7962,0.2381,0.1587,0.4762
10,3s,MICE,BoS__shap,Yes,ADASYN,LR,0.7548,0.2524,0.1585,0.6190
23,3s,knn__uniform,RFE__RF_30,Yes,SMOTEENN,RF,0.7930,0.2353,0.1563,0.4762
23,3s,knn__uniform,RFE__RF_30,Yes,ADASYN,RF,0.8344,0.2121,0.1556,0.3333
5,3s,knn__uniform,BoS__gini,Yes,ROSE,RF,0.8025,0.2250,0.1525,0.4286
11,NaN,knn__uniform,BoS__shap,Yes,ADASYN,NN,0.7420,0.2430,0.1512,0.6190
14,nothing,knn__uniform,RFE__RF,Yes,SMOTE,RF,0.8153,0.2162,0.1509,0.3810
4,3s,MICE,BoS__gini,Yes,SMOTE,RF,0.7962,0.2195,0.1475,0.4286
25,3s,knn__distance,RFE__RF,Yes,SMOTEENN,RF,0.7643,0.2292,0.1467,0.5238
25,3s,MICE,RFE__RF_30,Yes,SMOTE,LR,0.7484,0.2330,0.1463,0.5714
31,3s,knn__uniform,RFE__RF,No,SMOTEENN,RF,0.7484,0.2330,0.1463,0.5714
14,3s,knn__uniform,RFE__RF_15,Yes,SMOTE,RF,0.8248,0.2029,0.1458,0.3333
9,NaN,knn__distance,BoS__shap,Yes,ROSE,RF,0.7930,0.2169,0.1452,0.4286
14,3s,MICE,BoS__shap,Yes,SMOTEENN,LR,0.7134,0.2373,0.1443,0.6667
28,3s,MICE,RFE__SVM,Yes,SMOTEENN,RF,0.7102,0.2353,0.1429,0.6667
12,nothing,MICE,RFE__RF,Yes,ROSE,RF,0.7739,0.2198,0.1429,0.4762
23,3s,knn__uniform,RFE__RF_30,Yes,SMOTE,RF,0.8376,0.1905,0.1429,0.2857
5,nothing,knn__uniform,BoS__shap,Yes,ROSE,NN,0.8376,0.1905,0.1429,0.2857
28,3s,MICE,RFE__SVM,Yes,ROSE,RF,0.9013,0.1143,0.1429,0.0952
25,3s,MICE,RFE__RF_30,Yes,SMOTEENN,LR,0.7070,0.2333,0.1414,0.6667
11,nothing,knn__uniform,BoP,Yes,SMOTE,RF,0.7866,0.2118,0.1406,0.4286
19,3s,knn__uniform,BoS__shap,No,SMOTEENN,LR,0.6465,0.2345,0.1371,0.8095
24,NaN,knn__distance,RFE__RF,Yes,SMOTEENN,RF,0.7134,0.2241,0.1368,0.6190
19,3s,knn__uniform,BoS__shap,No,SMOTE,LR,0.7452,0.2157,0.1358,0.5238
12,3s,MICE,BoS__shap,Yes,SMOTE,LR,0.7261,0.2182,0.1348,0.5714
31,3s,knn__uniform,RFE__SVM,No,SMOTEENN,RF,0.7134,0.1964,0.1209,0.5238
8,NaN,knn__distance,BoS__shap,Yes,ADASYN,RF,0.7484,0.1856,0.1184,0.4286
25,3s,MICE,RFE__RF_30,Yes,ROSE,LR,0.7070,0.1930,0.1183,0.5238
7,NaN,knn__distance,BoS__shap,Yes,SMOTEENN,RF,0.6783,0.1920,0.1154,0.5714
5,nothing,knn__uniform,BoS__shap,Yes,SMOTE,NN,0.8057,0.1644,0.1154,0.2857
7,NaN,knn__distance,BoS__shap,Yes,SMOTE,RF,0.7580,0.1739,0.1127,0.3810
31,3s,knn__uniform,RFE__SVM,No,ADASYN,RF,0.7994,0.1600,0.1111,0.2857
10,3s,MICE,BoS__shap,Yes,SMOTEENN,RF,0.6401,0.1871,0.1102,0.6190
7,3s,MICE,BoS__gini,Yes,SMOTEENN,RF,0.6783,0.1789,0.1078,0.5238
31,3s,knn__uniform,RFE__RF,No,SMOTEENN,LR,0.5637,0.1796,0.1027,0.7143
8,3s,knn__uniform,BoS__gini,Yes,ADASYN,RF,0.7357,0.1616,0.1026,0.3810
8,3s,knn__uniform,BoS__gini,Yes,SMOTE,RF,0.7070,0.1636,0.1011,0.4286
25,3s,knn__uniform,RFE__RF,Yes,SMOTE,NN,0.4650,0.1765,0.0984,0.8571
5,3s,MICE,BoS__gini,Yes,ROSE,LR,0.5892,0.1677,0.0970,0.6190
8,3s,knn__uniform,BoS__gini,Yes,ADASYN,LR,0.6624,0.1587,0.0952,0.4762
14,3s,knn__uniform,BoS__shap,Yes,SMOTE,NN,0.5541,0.1566,0.0897,0.6190
25,NaN,knn__uniform,RFE__RF,Yes,SMOTE,NN,0.3917,0.1586,0.0874,0.8571
4,3s,MICE,BoS__gini,Yes,ADASYN,LR,0.5414,0.1529,0.0872,0.6190
27,nothing,knn__uniform,RFE__RF,Yes,SMOTE,NN,0.5000,0.1514,0.0854,0.6667
5,3s,MICE,BoS__gini,Yes,SMOTE,LR,0.5860,0.1447,0.0840,0.5238
8,3s,knn__uniform,BoS__gini,Yes,SMOTE,LR,0.6115,0.1408,0.0826,0.4762
7,3s,MICE,BoS__gini,Yes,SMOTEENN,LR,0.4268,0.1346,0.0749,0.6667
7,3s,MICE,BoS__gini,Yes,ADASYN,RF,0.5955,0.1241,0.0726,0.4286
5,3s,knn__uniform,BoS__gini,Yes,ROSE,LR,0.5573,0.1258,0.0725,0.4762
240,NaN,knn__uniform,nothing,Yes,SMOTEENN,NN,0.6688,0.1186,0.0722,0.3333
8,NaN,knn__uniform,BoS__shap,Yes,ROSE,NN,0.1911,0.1301,0.0701,0.9048
240,nothing,knn__uniform,nothing,Yes,SMOTEENN,NN,0.1115,0.1308,0.0700,1.0000
240,NaN,knn__uniform,nothing,Yes,ROSE,NN,0.6592,0.1157,0.0700,0.3333
14,3s,knn__uniform,BoS__shap,Yes,SMOTEENN,NN,0.2611,0.1278,0.0694,0.8095
27,nothing,knn__uniform,RFE__RF,Yes,ADASYN,NN,0.0764,0.1265,0.0675,1.0000
25,NaN,knn__uniform,RFE__RF,Yes,ROSE,NN,0.0701,0.1257,0.0671,1.0000
12,3s,knn__uniform,BoS__shap,Yes,ROSE,NN,0.0669,0.1254,0.0669,1.0000
26,3s,knn__uniform,RFE__RF,Yes,SMOTEENN,NN,0.0669,0.1254,0.0669,1.0000
240,NaN,knn__uniform,nothing,Yes,ADASYN,NN,0.0669,0.1254,0.0669,1.0000
240,NaN,knn__uniform,nothing,Yes,SMOTE,NN,0.0669,0.1254,0.0669,1.0000
5,nothing,knn__uniform,BoS__shap,Yes,SMOTEENN,NN,0.0669,0.1254,0.0669,1.0000
27,nothing,knn__uniform,RFE__RF,Yes,SMOTEENN,NN,0.0669,0.1254,0.0669,1.0000
27,nothing,knn__uniform,RFE__RF,Yes,ROSE,NN,0.0669,0.1254,0.0669,1.0000
240,nothing,knn__uniform,nothing,Yes,ADASYN,NN,0.0669,0.1254,0.0669,1.0000
10,3s,knn__uniform,BoS__shap,Yes,ADASYN,NN,0.0987,0.1238,0.0662,0.9524
225,3s,knn__uniform,nothing,Yes,ROSE,RF,0.9331,0.0000,0.0000,0.0000
223,3s,MICE,nothing,Yes,ROSE,RF,0.9331,0.0000,0.0000,0.0000
226,nothing,knn__uniform,nothing,Yes,ROSE,RF,0.9331,0.0000,0.0000,0.0000
223,nothing,MICE,nothing,Yes,ROSE,RF,0.9331,0.0000,0.0000,0.0000
24,3s,knn__uniform,RFE__RF,Yes,ROSE,NN,0.9331,0.0000,0.0000,0.0000
240,nothing,knn__uniform,nothing,Yes,SMOTE,NN,0.9331,0.0000,0.0000,0.0000
=======
﻿n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model,remove_multicoli,balancing_sampling_technique,Model,accuracy,f1,precision,recall
223,3s,MICE,nothing,Yes,SMOTE,RF,0.9140,0.3415,0.3500,0.3333
223,nothing,MICE,nothing,Yes,SMOTE,RF,0.9140,0.3415,0.3500,0.3333
226,nothing,knn__uniform,nothing,Yes,SMOTE,RF,0.8981,0.3043,0.2800,0.3333
10,NaN,knn__uniform,BoS__shap,Yes,SMOTEENN,NN,0.8631,0.3385,0.2500,0.5238
11,3s,MICE,BoS__shap,Yes,SMOTE,RF,0.8471,0.3514,0.2453,0.6190
24,NaN,knn__distance,RFE__RF,Yes,ROSE,RF,0.8439,0.3467,0.2407,0.6190
24,3s,knn__distance,RFE__RF,Yes,ADASYN,RF,0.8694,0.3051,0.2368,0.4286
23,3s,knn__uniform,RFE__RF_30,Yes,ROSE,RF,0.8535,0.3235,0.2340,0.5238
225,3s,knn__uniform,nothing,Yes,SMOTE,RF,0.8885,0.2553,0.2308,0.2857
25,NaN,knn__uniform,RFE__RF,Yes,SMOTEENN,NN,0.9108,0.1765,0.2308,0.1429
8,3s,knn__uniform,BoS__gini,Yes,SMOTEENN,LR,0.8503,0.3188,0.2292,0.5238
14,3s,knn__distance,BoS__shap,Yes,ADASYN,RF,0.8408,0.3243,0.2264,0.5714
15,3s,MICE,BoS__shap,Yes,ADASYN,RF,0.8376,0.3200,0.2222,0.5714
31,3s,knn__uniform,RFE__RF,No,ROSE,RF,0.8535,0.3030,0.2222,0.4762
31,3s,knn__uniform,RFE__SVM,No,ROSE,RF,0.8599,0.2903,0.2195,0.4286
14,3s,knn__distance,BoS__shap,Yes,SMOTE,RF,0.8344,0.3158,0.2182,0.5714
9,3s,knn__uniform,BoS__gini,Yes,SMOTEENN,RF,0.8217,0.3171,0.2131,0.6190
24,3s,MICE,RFE__RF_30,Yes,ROSE,RF,0.8981,0.2000,0.2105,0.1905
6,NaN,knn__uniform,BoS__shap,Yes,SMOTE,NN,0.8439,0.2899,0.2083,0.4762
10,3s,knn__uniform,BoS__shap,Yes,SMOTE,RF,0.8248,0.3038,0.2069,0.5714
26,NaN,knn__uniform,RFE__RF,Yes,ROSE,RF,0.8121,0.3059,0.2031,0.6190
11,nothing,MICE,BoS__shap,Yes,ROSE,RF,0.8185,0.2963,0.2000,0.5714
23,NaN,knn__distance,RFE__RF,Yes,SMOTE,RF,0.8376,0.2817,0.2000,0.4762
31,3s,knn__uniform,RFE__RF,No,ADASYN,RF,0.8567,0.2623,0.2000,0.3810
25,3s,knn__distance,RFE__RF,Yes,SMOTE,RF,0.8662,0.2500,0.2000,0.3333
12,nothing,knn__uniform,BoS__shap,Yes,SMOTE,RF,0.8248,0.2857,0.1964,0.5238
26,3s,knn__distance,RFE__RF,Yes,ROSE,RF,0.8248,0.2857,0.1964,0.5238
11,nothing,MICE,BoS__shap,Yes,SMOTE,RF,0.8217,0.2821,0.1930,0.5238
14,3s,knn__uniform,BoS__shap,Yes,ADASYN,RF,0.8217,0.2821,0.1930,0.5238
27,3s,MICE,RFE__SVM,Yes,SMOTE,RF,0.8312,0.2740,0.1923,0.4762
19,3s,knn__uniform,BoS__shap,No,SMOTE,RF,0.8185,0.2785,0.1897,0.5238
10,3s,knn__uniform,BoS__shap,Yes,SMOTEENN,RF,0.7866,0.2947,0.1892,0.6667
24,3s,MICE,RFE__RF_30,Yes,ADASYN,LR,0.7962,0.2889,0.1884,0.6190
12,3s,knn__distance,BoS__shap,Yes,SMOTEENN,RF,0.7643,0.3019,0.1882,0.7619
14,3s,MICE,BoP,Yes,ROSE,RF,0.8057,0.2824,0.1875,0.5714
29,3s,MICE,RFE__SVM,Yes,ADASYN,RF,0.8376,0.2609,0.1875,0.4286
25,3s,MICE,RFE__RF_30,Yes,SMOTEENN,RF,0.7834,0.2917,0.1867,0.6667
19,3s,knn__uniform,BoS__shap,No,SMOTEENN,RF,0.7611,0.2991,0.1860,0.7619
25,3s,MICE,RFE__RF_30,Yes,ADASYN,RF,0.8471,0.2500,0.1860,0.3810
12,3s,knn__uniform,BoP,Yes,ROSE,RF,0.7930,0.2857,0.1857,0.6190
14,3s,knn__uniform,RFE__RF_15,Yes,ROSE,RF,0.8025,0.2791,0.1846,0.5714
12,nothing,knn__uniform,BoS__shap,Yes,ROSE,RF,0.8025,0.2791,0.1846,0.5714
14,nothing,MICE,BoP,Yes,SMOTE,RF,0.8025,0.2791,0.1846,0.5714
26,NaN,knn__distance,RFE__RF,Yes,ADASYN,RF,0.8344,0.2571,0.1837,0.4286
23,NaN,knn__uniform,RFE__RF,Yes,ADASYN,NN,0.8344,0.2571,0.1837,0.4286
10,3s,MICE,BoS__shap,Yes,ROSE,RF,0.8121,0.2716,0.1833,0.5238
13,3s,MICE,BoP,Yes,SMOTE,RF,0.8121,0.2716,0.1833,0.5238
13,3s,MICE,RFE__RF_15,Yes,SMOTE,RF,0.8121,0.2716,0.1833,0.5238
18,3s,knn__uniform,BoS__shap,No,ADASYN,RF,0.8121,0.2716,0.1833,0.5238
11,nothing,knn__uniform,BoP,Yes,ROSE,RF,0.7898,0.2826,0.1831,0.6190
25,NaN,knn__uniform,RFE__RF,Yes,SMOTE,RF,0.8439,0.2462,0.1818,0.3810
10,NaN,knn__uniform,BoS__shap,Yes,SMOTE,RF,0.8185,0.2597,0.1786,0.4762
14,nothing,knn__uniform,RFE__RF,Yes,ROSE,RF,0.7834,0.2766,0.1781,0.6190
11,NaN,knn__uniform,BoS__shap,Yes,ROSE,RF,0.8057,0.2651,0.1774,0.5238
14,nothing,MICE,BoP,Yes,ROSE,RF,0.7930,0.2697,0.1765,0.5714
14,3s,knn__uniform,BoS__shap,Yes,ROSE,RF,0.8631,0.2182,0.1765,0.2857
31,3s,knn__uniform,RFE__SVM,No,SMOTE,RF,0.8248,0.2466,0.1731,0.4286
31,3s,knn__uniform,RFE__RF,No,ADASYN,LR,0.7643,0.2745,0.1728,0.6667
31,3s,knn__uniform,RFE__RF,No,SMOTE,RF,0.8344,0.2353,0.1702,0.3810
12,nothing,MICE,RFE__RF,Yes,SMOTE,RF,0.8089,0.2500,0.1695,0.4762
24,3s,knn__uniform,RFE__RF,Yes,ADASYN,NN,0.7962,0.2558,0.1692,0.5238
11,3s,MICE,BoS__shap,Yes,ROSE,LR,0.7803,0.2581,0.1667,0.5714
10,3s,knn__distance,BoS__shap,Yes,ROSE,RF,0.7930,0.2529,0.1667,0.5238
31,3s,knn__uniform,RFE__RF,No,ROSE,LR,0.7930,0.2529,0.1667,0.5238
25,3s,MICE,RFE__RF_30,Yes,SMOTE,RF,0.8567,0.2105,0.1667,0.2857
5,nothing,knn__uniform,BoS__shap,Yes,ADASYN,NN,0.8567,0.2105,0.1667,0.2857
15,3s,knn__uniform,BoS__shap,No,ADASYN,LR,0.7643,0.2600,0.1646,0.6190
18,3s,knn__uniform,BoS__shap,No,ROSE,LR,0.7771,0.2553,0.1644,0.5714
15,3s,knn__uniform,BoS__shap,No,ROSE,RF,0.8280,0.2286,0.1633,0.3810
31,3s,knn__uniform,RFE__RF,No,SMOTE,LR,0.7611,0.2574,0.1625,0.6190
13,3s,knn__uniform,BoP,Yes,SMOTE,RF,0.7866,0.2472,0.1618,0.5238
15,3s,MICE,RFE__RF_15,Yes,ROSE,RF,0.7866,0.2472,0.1618,0.5238
5,3s,MICE,BoS__gini,Yes,ROSE,RF,0.7962,0.2381,0.1587,0.4762
10,3s,MICE,BoS__shap,Yes,ADASYN,LR,0.7548,0.2524,0.1585,0.6190
23,3s,knn__uniform,RFE__RF_30,Yes,SMOTEENN,RF,0.7930,0.2353,0.1563,0.4762
23,3s,knn__uniform,RFE__RF_30,Yes,ADASYN,RF,0.8344,0.2121,0.1556,0.3333
5,3s,knn__uniform,BoS__gini,Yes,ROSE,RF,0.8025,0.2250,0.1525,0.4286
11,NaN,knn__uniform,BoS__shap,Yes,ADASYN,NN,0.7420,0.2430,0.1512,0.6190
14,nothing,knn__uniform,RFE__RF,Yes,SMOTE,RF,0.8153,0.2162,0.1509,0.3810
4,3s,MICE,BoS__gini,Yes,SMOTE,RF,0.7962,0.2195,0.1475,0.4286
25,3s,knn__distance,RFE__RF,Yes,SMOTEENN,RF,0.7643,0.2292,0.1467,0.5238
25,3s,MICE,RFE__RF_30,Yes,SMOTE,LR,0.7484,0.2330,0.1463,0.5714
31,3s,knn__uniform,RFE__RF,No,SMOTEENN,RF,0.7484,0.2330,0.1463,0.5714
14,3s,knn__uniform,RFE__RF_15,Yes,SMOTE,RF,0.8248,0.2029,0.1458,0.3333
9,NaN,knn__distance,BoS__shap,Yes,ROSE,RF,0.7930,0.2169,0.1452,0.4286
14,3s,MICE,BoS__shap,Yes,SMOTEENN,LR,0.7134,0.2373,0.1443,0.6667
28,3s,MICE,RFE__SVM,Yes,SMOTEENN,RF,0.7102,0.2353,0.1429,0.6667
12,nothing,MICE,RFE__RF,Yes,ROSE,RF,0.7739,0.2198,0.1429,0.4762
23,3s,knn__uniform,RFE__RF_30,Yes,SMOTE,RF,0.8376,0.1905,0.1429,0.2857
5,nothing,knn__uniform,BoS__shap,Yes,ROSE,NN,0.8376,0.1905,0.1429,0.2857
28,3s,MICE,RFE__SVM,Yes,ROSE,RF,0.9013,0.1143,0.1429,0.0952
25,3s,MICE,RFE__RF_30,Yes,SMOTEENN,LR,0.7070,0.2333,0.1414,0.6667
11,nothing,knn__uniform,BoP,Yes,SMOTE,RF,0.7866,0.2118,0.1406,0.4286
19,3s,knn__uniform,BoS__shap,No,SMOTEENN,LR,0.6465,0.2345,0.1371,0.8095
24,NaN,knn__distance,RFE__RF,Yes,SMOTEENN,RF,0.7134,0.2241,0.1368,0.6190
19,3s,knn__uniform,BoS__shap,No,SMOTE,LR,0.7452,0.2157,0.1358,0.5238
12,3s,MICE,BoS__shap,Yes,SMOTE,LR,0.7261,0.2182,0.1348,0.5714
31,3s,knn__uniform,RFE__SVM,No,SMOTEENN,RF,0.7134,0.1964,0.1209,0.5238
8,NaN,knn__distance,BoS__shap,Yes,ADASYN,RF,0.7484,0.1856,0.1184,0.4286
25,3s,MICE,RFE__RF_30,Yes,ROSE,LR,0.7070,0.1930,0.1183,0.5238
7,NaN,knn__distance,BoS__shap,Yes,SMOTEENN,RF,0.6783,0.1920,0.1154,0.5714
5,nothing,knn__uniform,BoS__shap,Yes,SMOTE,NN,0.8057,0.1644,0.1154,0.2857
7,NaN,knn__distance,BoS__shap,Yes,SMOTE,RF,0.7580,0.1739,0.1127,0.3810
31,3s,knn__uniform,RFE__SVM,No,ADASYN,RF,0.7994,0.1600,0.1111,0.2857
10,3s,MICE,BoS__shap,Yes,SMOTEENN,RF,0.6401,0.1871,0.1102,0.6190
7,3s,MICE,BoS__gini,Yes,SMOTEENN,RF,0.6783,0.1789,0.1078,0.5238
31,3s,knn__uniform,RFE__RF,No,SMOTEENN,LR,0.5637,0.1796,0.1027,0.7143
8,3s,knn__uniform,BoS__gini,Yes,ADASYN,RF,0.7357,0.1616,0.1026,0.3810
8,3s,knn__uniform,BoS__gini,Yes,SMOTE,RF,0.7070,0.1636,0.1011,0.4286
25,3s,knn__uniform,RFE__RF,Yes,SMOTE,NN,0.4650,0.1765,0.0984,0.8571
5,3s,MICE,BoS__gini,Yes,ROSE,LR,0.5892,0.1677,0.0970,0.6190
8,3s,knn__uniform,BoS__gini,Yes,ADASYN,LR,0.6624,0.1587,0.0952,0.4762
14,3s,knn__uniform,BoS__shap,Yes,SMOTE,NN,0.5541,0.1566,0.0897,0.6190
25,NaN,knn__uniform,RFE__RF,Yes,SMOTE,NN,0.3917,0.1586,0.0874,0.8571
4,3s,MICE,BoS__gini,Yes,ADASYN,LR,0.5414,0.1529,0.0872,0.6190
27,nothing,knn__uniform,RFE__RF,Yes,SMOTE,NN,0.5000,0.1514,0.0854,0.6667
5,3s,MICE,BoS__gini,Yes,SMOTE,LR,0.5860,0.1447,0.0840,0.5238
8,3s,knn__uniform,BoS__gini,Yes,SMOTE,LR,0.6115,0.1408,0.0826,0.4762
7,3s,MICE,BoS__gini,Yes,SMOTEENN,LR,0.4268,0.1346,0.0749,0.6667
7,3s,MICE,BoS__gini,Yes,ADASYN,RF,0.5955,0.1241,0.0726,0.4286
5,3s,knn__uniform,BoS__gini,Yes,ROSE,LR,0.5573,0.1258,0.0725,0.4762
240,NaN,knn__uniform,nothing,Yes,SMOTEENN,NN,0.6688,0.1186,0.0722,0.3333
8,NaN,knn__uniform,BoS__shap,Yes,ROSE,NN,0.1911,0.1301,0.0701,0.9048
240,nothing,knn__uniform,nothing,Yes,SMOTEENN,NN,0.1115,0.1308,0.0700,1.0000
240,NaN,knn__uniform,nothing,Yes,ROSE,NN,0.6592,0.1157,0.0700,0.3333
14,3s,knn__uniform,BoS__shap,Yes,SMOTEENN,NN,0.2611,0.1278,0.0694,0.8095
