,feature_60,feature_478,feature_133,feature_65,feature_349,feature_435,feature_34,feature_511,feature_442,feature_124
98,-0.9091,4.2125,2.2915,20.9091,0.0176,9.2494,8.6472,47.2761,0.7611,15.54
99,1.8164,5.801,2.3481,18.1836,0.0226,14.0172,8.2638,46.0028,0.9726,15.74
100,0.1227,6.0602,2.3099,19.8773,0.0262,9.1776,9.5713,51.4745,0.7928,15.84
101,0.8745,5.0466,2.2588,19.1255,0.0125,12.9555,8.5251,47.4506,0.869,15.95
102,-1.0182,6.2631,2.2725,21.0182,0.0142,16.2183,8.7779,38.6555,0.466,15.82
103,0.3036,6.8782,2.3177,19.6964,0.0189,7.6823,8.8513,46.9294,1.062,15.8
104,2.0509,8.3516,2.2674,17.9491,0.026,15.4171,8.6556,60.6593,0.6163,15.85
105,22.7927,8.4149,2.4244,17.2073,0.0352,10.6846,9.0998,133.29193306761312,1.0551,15.78
106,4.1464,8.2175,2.4214,15.8536,0.0202,5.7493,8.5889,62.7054,0.6222,15.62
107,0.3245,8.9509,2.2949,19.6755,0.05001404392542416,5.4458,8.8973,58.8556,0.6796,15.7
108,6.1527,2.6252,2.3672,13.8473,0.0183,4.1104,8.6915,54.8792,0.9639,15.87
109,-1.8473,8.9647,2.4,34.62999992554279,0.0249,10.717,8.7879,108.9974,0.8556,15.79
110,-1.6436,7.076,2.4073,21.6436,0.0202,7.8761,8.2823,47.36,0.8133,15.72
111,2.2982,4.252,2.2821,17.7018,0.0171,4.2138,8.6799,55.7971,0.593,15.8
112,23.8864,3.626,2.3471,16.1136,0.0395,9.3799,9.1638,83.3747,0.6641,15.75
113,3.8109,5.1132,2.2674,16.1891,0.0146,10.6545,8.9605,69.7789,0.9274,15.85
114,-6.74,4.736,2.3079,26.74,0.0195,11.4899,9.7137,41.543,0.3973,15.71
115,2.2618,8.7071,2.2789,17.7382,0.0253,12.2203,9.7571,39.8804,0.7852,15.67
116,1.9245,4.6417,2.2728,18.0755,0.0136,10.3977,8.5459,54.9102,1.0918,15.99
117,-0.4409,6.1962,2.2474,20.4409,0.0175,12.1517,8.3663,55.0265,0.5779,15.77
118,27.652799664750972,6.5265,2.3596,11.5773,0.0432,13.9178,8.7947,116.5829,0.8446,15.79
119,2.4209,6.6675,2.3984,17.5791,0.0218,3.0036,9.0145,38.2222,0.5478,15.92
120,-0.81,12.070534706053035,2.3296,20.81,0.0294,14.0369,8.6439,133.29193306761312,1.0135,15.71
121,-3.1246962445657793,5.6205293824675495,2.3883,20.39598976831199,0.0153,9.5164,8.2981,24.3013,0.7093,15.91
122,-17.9336,4.7846,2.3407,34.62999992554279,0.0237,7.1685,9.043,103.8674,0.7574,15.84
123,-0.7155,2.1779,2.4151,20.7155,0.0245,8.3029,8.6799,34.7032,0.593,15.84
124,4.1509,5.0601,2.3099,15.8491,0.0285,17.1637,9.0622,122.7273,0.8343,15.84
125,3.9673,5.5115,2.2527,16.0327,0.0171,7.2727,9.0811,66.881,1.1213,15.81
126,-3.65,4.6997,2.2631,23.65,0.0261,10.5841,8.3663,18.7755,0.5779,15.81
127,-1.9855,7.9214,2.3495,21.9855,0.0197,8.8526,8.7932,25.3968,0.8159,15.81
128,-3.88,4.8058,2.2711,23.88,0.0122,4.6438,8.3675,36.999,0.6268,15.77
129,5.8045,8.0418,2.4201,14.1955,0.0248,7.1704,8.7932,36.8825,0.8159,15.56
130,-0.9945,6.5778,2.3883,20.9945,0.0284,14.686,8.287,24.3115,1.0541,15.91
131,-4.6636,4.3419,2.2989,24.6636,0.0224,7.9362,9.9964,42.6036,0.7477,15.84
132,-19.1518,3.4781,2.3321272719547927,34.62999992554279,0.0283,8.6154,8.8388,52.0179,0.9836,15.812378282854908
133,3.2509,5.7289,2.2588,16.7491,0.0222,17.0732,8.6772,34.5158,0.9048,15.95
134,2.3318,5.6591,2.2877,17.6682,0.02570377880247817,4.9712,8.1605,40.0932,0.9175,15.91
135,5.4018,3.3141,2.3038,14.5982,0.0146,12.4288,8.6406,94.6565,0.8235,15.85
136,-0.5691,3.3826,2.3978,20.5691,0.0156,13.6743,9.2291,76.6551,0.811,15.76
137,-21.830849350044517,6.0188,2.3073,34.62999992554279,0.0362,13.7095,9.043,133.29193306761312,0.7574,15.76
138,-1.0573,3.3903,2.2771,21.0573,0.024,12.0108,8.9635,62.7615,0.7643,16.01
139,-6.8764,4.0285,2.2216,26.8764,0.0195,5.3435,8.6556,76.1221,0.6163,16.0
140,2.8136,5.8022,2.2802,17.1864,0.0164,6.6705,9.131,30.7311,0.7139,15.8
141,-3.7245,5.1156,2.3021,23.7245,0.0307,11.7508,8.1605,40.2721,0.9175,15.77
142,-1.2182,5.243,2.3161,21.2182,0.0342,8.3418,9.9964,54.3689,0.7477,15.89
143,-5.68,8.4634,2.2705,25.68,0.0245,16.715,8.8215,26.4901,0.573,15.83
144,1.2518,4.0841,2.2931,18.7482,0.0372,7.3519,8.6384,50.7795,0.7532,15.71
145,-0.1145,5.2041,2.2705,20.1145,0.0229,12.8,8.8215,31.9202,0.573,15.83
146,19.5609,6.634,2.3128,20.4391,0.0243,12.2271,9.4832,63.621,0.7507,15.9
147,-3.7673,5.8656,2.2809,23.7673,0.0293,9.5832,8.3845,24.2152,0.6787,15.79
148,-3.6855,5.7486,2.3063,23.6855,0.0291,12.6008,8.5855,36.036,0.9588,15.96
149,3.3918,5.4606,2.3301,16.6082,0.022,13.7056,8.7696,28.0193,0.3963,16.0
150,-2.5036,5.4421,2.4196,22.5036,0.0128,9.2481,8.7383,61.7391,1.0186,15.86
151,16.2418,6.1628,2.298,23.7582,0.0293,9.3071,8.5788,43.739,0.9683,15.86
152,4.6609,4.2114,2.3997,34.62999992554279,0.0386,24.40700322285261,8.7487,133.29193306761312,1.0459,15.77
153,1.5882,2.8513,2.3237,34.62999992554279,0.0169,12.6824,10.063204409341335,67.8869,0.7584,15.85
154,24.14,8.171,2.298,15.86,0.0187,15.1561,9.1757,32.2078,0.7059,15.86
155,0.1518,3.0125,2.2928,19.8482,0.0239,8.6891,9.5713,47.5524,0.7928,15.91
156,8.0636,6.2537,2.3314,31.9364,0.0244,7.2643,8.872,56.7164,0.7524,15.77
157,25.0836,8.3929,2.2764,14.9164,0.037,7.9778,9.6234,67.9406,0.5955,15.89
158,3.2655,7.2471,2.4201,16.7345,0.0145,11.6345,9.754,133.29193306761312,0.577,15.56
159,2.2009,3.977,2.2892,17.7991,0.0191,13.3617,8.8356,31.8804,0.5194,15.69
160,-6.6409,2.9266,2.3884,26.6409,0.0186,18.1344,9.4336,22.4168,1.1623,15.85
161,-3.7045,6.9715,2.2553,23.7045,0.0264,9.6578,8.6695,22.6562,0.8616,15.76
162,-2.63,4.9807,2.2697,22.63,0.0221,3.1931,8.7897,67.7419,0.5377,15.94
163,-2.7282,2.8666,2.4349,22.7282,0.0143,5.6402,9.0942,31.8756,0.7677,15.77
164,2.6718,2.7091,2.2616,17.3282,0.0213,13.6712,8.6772,36.534,0.9048,15.86
165,1.0045,6.8317,2.2909,18.9955,0.0264,11.2676,8.9546,49.5495,0.8883,15.89
166,1.6018,3.6852,2.2859,18.3982,0.0151,6.6253,8.6384,28.1938,0.7532,15.72
167,20.7209,4.6032,2.3715,19.2791,0.0462,13.3739,8.6211,63.3782,0.7408,15.81
168,-3.1255,4.0177,2.4167,23.1255,0.0203,8.2055,8.5862,20.9709,0.9332,15.83
169,4.0991,3.9273,2.3025,15.9009,0.0289,9.0308,9.396,27.9509,0.6576,15.81
170,-6.3391,2.5684,2.2634,26.3391,0.0158,11.9812,8.9191,35.3201,0.8859,15.76
171,6.2455,5.0709,2.3099,13.7545,0.0277,13.4393,8.8384,57.732,0.768,15.84
172,10.2109,4.8214,2.3403,29.7891,0.0405,16.5962,9.1502,93.3333,0.7162,15.85
173,26.7745,5.7668,2.3403,13.2255,0.0371,12.4561,8.6667,68.7631,1.0959,15.85
174,-0.7245,4.6526,2.4108,20.7245,0.014,5.3177,8.287,26.2056,1.0541,15.84
175,-0.2709,3.3925,2.2954,20.2709,0.0247,4.2496,8.7552,35.8056,0.9066,15.59
176,10.8955,4.3312,2.3132,29.1045,0.0328,10.3967,8.872,62.6826,0.7524,15.84
177,27.652799664750972,12.070534706053035,2.3471,10.8082,0.0162,10.6416,8.7947,88.665,0.8446,15.75
178,-1.0909,5.7275,2.2596,21.0909,0.0177,14.5916,8.9191,100.0,0.8859,15.74
179,-0.5655,4.8219,2.2711,20.5655,0.0209,8.2409,9.2036,37.9822,0.7277,15.77
180,-2.8818,5.3451,2.2967,22.8818,0.015,3.7139,8.8132,59.5136,0.8146,15.94
181,3.1136,7.6393,2.3078,34.62999992554279,0.0296,14.206,8.5405,50.0,0.9059,15.88
182,-7.0082,7.8141,2.292,27.0082,0.0296,7.4839,8.5298,48.1416,0.9276,15.79
183,3.0718,6.275,2.2826,16.9282,0.0207,18.5003,8.2914,34.6667,0.6385,15.79
184,-1.5036,2.8462,2.2809,21.5036,0.0269,8.2035,9.7571,25.5591,0.7852,15.79
185,3.1845,5.4338,2.3453,16.8155,0.0182,10.9164,8.5779,35.518,1.0189,15.92
186,22.7173,5.3468,2.3194,17.2827,0.0219,17.2293,8.7879,23.8651,0.8556,15.9
187,-12.1527,5.0961,2.3378,32.1527,0.0132,8.4243,8.6309,133.29193306761312,1.148,15.81
188,2.32,4.7428,2.2569,17.68,0.0264,9.8035,8.7646,49.7132,0.685,15.84
189,0.7864,5.0348,2.2732,19.2136,0.0217,6.8992,8.8973,64.3815,0.6796,15.73
190,-2.4818,3.3746,2.212,22.4818,0.0202,8.6837,8.2914,49.2476,0.6385,15.98
191,9.3336,8.5107,2.3313,30.6664,0.0153,4.5545,9.1784,39.2906,0.7898,15.91
192,2.0427,8.6072,2.3314,34.62999992554279,0.0316,7.6458,9.2362,101.8182,0.9087,15.77
193,2.43,3.6629,2.3453,17.57,0.0163,7.0539,8.4896,48.5584,0.9735,15.92
194,0.3036,7.5994,2.3401,19.6964,0.0216,3.3128,9.308,48.1807,1.0078,15.94
195,0.2464,6.4316,2.4023,19.7536,0.0241,6.0,8.9191,27.9518,0.8859,16.04
196,1.2691,6.5857,2.3207,18.7309,0.0301,15.1735,8.3179,47.5034,0.6257,15.83
197,0.2818,4.4168,2.3162,19.7182,0.0261,8.6348,9.0776,49.2462,0.5888,15.75
198,-0.9236,6.5365,2.2647,20.9236,0.0225,12.0312,8.7548,59.6882,0.7954,15.83
199,5.3782,5.5785,2.3834,14.6218,0.0326,15.3377,8.6406,34.7826,0.8235,15.83
200,0.8045,7.4993,2.2392,19.1955,0.033,15.5651,8.9541,73.6706,0.4749,15.83
201,0.42,6.8146,2.3883,19.58,0.0212,10.2941,8.6695,50.4298,0.8616,15.91
202,2.8236,7.9017,2.2959,17.1764,0.0216,10.9202,9.4749,29.0353,0.9525,15.73
203,1.3282,2.8024,2.3479,18.6718,0.0277,11.4441,8.0787,70.4663,0.6644,15.58
204,1.9936,6.7038,2.349,18.0064,0.0247,8.2886,8.5407,68.2667,0.4382,15.71
205,2.5855,3.1843,2.2949,17.4145,0.0366,7.4233,9.3868,50.1458,0.8198,15.7
206,16.4073,6.6161,2.3038,23.5927,0.0411,12.9262,8.6829,124.3902,0.7158,15.91
207,6.6827,5.5553,2.2989,13.3173,0.0247,11.8804,8.572,59.4059,0.9238,15.84
208,2.8245,4.2813,2.307,17.1755,0.0205,9.3094,9.5713,36.0,0.7928,15.9
209,7.3164,3.2839,2.2989,12.6836,0.0169,7.4868,8.3588,75.9193,0.713,15.84
210,7.0709,5.7825,2.2773,12.9291,0.0205,11.0769,8.7851,34.709,0.4389,15.97
211,-2.5436,5.4237,2.2749,22.5436,0.0192,11.4566,8.8105,45.8015,0.4817,15.79
212,4.6327,3.6741,2.295,15.3673,0.05001404392542416,13.2949,8.5266,34.4615,0.9725,15.88
213,-0.6936,5.2008,2.3289,20.6936,0.0196,4.3299,8.5615,55.0206,0.832,15.94
214,-0.9409,6.4924,2.3503,20.9409,0.0122,5.3625,10.063204409341335,70.8688,0.7681,15.87
215,-5.3264,5.4535,2.2732,25.3264,0.0163,9.0909,8.3675,40.4332,0.6268,15.71
216,2.8009,4.0832,2.3124,17.1991,0.02005994866032143,3.8016,8.5494,37.4312,0.7865,15.93
217,-10.6036,6.8752,2.3144,30.6036,0.0176,10.9506,8.5405,56.4972,0.9059,15.522238946287386
218,-5.9045,6.2047,2.2881,25.9045,0.0272,10.1149,9.2291,11.8019,0.811,15.87
219,-4.7682,3.8697,2.2982,24.7682,0.0238,7.0079,8.941,30.5677,1.026,15.57
220,12.8982,8.285,2.3954,27.1018,0.0341,24.40700322285261,9.2007,74.6667,0.7015,15.78
221,5.65,9.0309,2.2909,14.35,0.0165,10.038,8.5135,33.3709,1.0393,15.89
222,0.6055,4.2645,2.2982,19.3945,0.0264,5.6135,9.4749,64.5161,0.9525,15.57
223,1.0291,6.679,2.3259,18.9709,0.0208,11.0173,8.7867,46.1825,0.78,15.75
224,-2.5345,2.7794,2.2631,22.5345,0.0228,8.6499,8.8581,37.0137,0.6373,15.81
225,27.3,8.8334,2.3834,12.7,0.0116,12.7975,9.3998,111.3924,0.596,15.83
226,1.7018,4.1438,2.3138,18.2982,0.0211,8.3608,8.6472,82.2346,0.7611,15.71
227,-3.01,2.7758,2.4172,23.01,0.0243,10.3768,9.0639,47.2441,0.9091,15.86
228,5.03,12.070534706053035,2.3248,34.62999992554279,0.013,5.2018,10.063204409341335,113.0045,0.7584,15.9
229,0.2336,4.2573,2.2939,19.7664,0.0172,3.5769,8.6556,38.5852,0.6163,15.83
230,-1.79,2.2725,2.2631,21.79,0.0151,5.6567,8.4278,30.0366,0.7558,15.81
231,-0.1882,4.4714,2.2604,20.1882,0.0273,12.6799,9.065,35.9788,0.8452,15.76
232,-3.9509,4.1335,2.4023,23.9509,0.0236,10.6927,8.5735,19.0476,0.9075,16.04
233,-8.4836,6.9918,2.2881,28.4836,0.0175,9.4368,8.5177,57.4257,0.8384,15.87
234,3.88,4.6953,2.3132,16.12,0.0381,11.0064,8.8505,58.7065,0.687,15.84
235,0.6782,4.7511,2.3179,19.3218,0.0184,9.4233,8.8249,50.0803,0.6302,15.92
236,5.7945,6.0735,2.418,14.2055,0.0242,4.6779,8.9562,28.8867,0.9444,15.86
237,1.5645,6.6138,2.2868,18.4355,0.018697433193347962,6.5303,8.7164,30.0107,0.8569,15.78
238,6.8491,4.3849,2.3984,13.1509,0.0272,1.6555,9.0061,21.6822,0.5374,15.92
239,4.9336,5.8227,2.2729,15.0664,0.0284,10.7754,9.0744,62.9442,0.4782,15.79
240,-3.8655,6.381,2.2647,23.8655,0.0203,10.1236,8.6611,20.4629,0.7719,15.83
241,21.7573,5.7213,2.3997,18.2427,0.011,9.3946,9.094,133.29193306761312,0.7613,15.77
242,1.7318,3.7079,2.2445,18.2682,0.028,15.1889,8.6544,38.6768,0.6641,15.79
243,-5.52,3.7167,2.2527,25.52,0.033,13.5463,8.58,52.6523,0.684,15.91
244,-0.6327,3.0271,2.2445,20.6327,0.0197,8.4502,8.8581,40.0409,0.6373,15.79
245,5.1773,4.8457,2.4073,14.8227,0.0247,8.2024,8.2638,60.1002,0.9726,15.72
246,1.1527,5.4141,2.2697,18.8473,0.0162,11.148,8.6005,60.1058,1.1248,15.94
247,-2.5345,2.8331,2.4167,22.5345,0.0163,10.2916,8.5862,47.7495,0.9332,15.83
248,-3.9618,4.9627,2.2757,23.9618,0.0132,6.3862,8.2061,24.3442,0.4744,15.71
249,0.7,7.0696,2.2674,19.3,0.0257,4.9411,9.088,36.2301,0.481,15.85
250,-1.8045,7.2043,2.2544,21.8045,0.0205,24.40700322285261,8.6024,42.0438,0.5329,15.77
251,27.652799664750972,3.1529,2.3038,11.5991,0.0263,14.4516,9.5642,41.4458,0.5593,15.85
252,-3.1927,3.0517,2.3079,23.1927,0.0156,12.8856,8.4537,40.7932,0.9186,15.71
253,27.652799664750972,5.9742,2.3592,12.2636,0.0175,11.012,10.063204409341335,85.3333,0.8735,15.78
254,-0.7036,4.8678,2.2728,20.7036,0.0251,4.0297,8.3324,39.2894,1.1638,15.99
255,-4.2327,7.7983,2.2474,24.2327,0.0184,8.0406,8.8546,54.3791,0.7337,15.77
256,6.7391,6.9887,2.4153,33.2609,0.0392,7.8312,10.063204409341335,102.6316,0.7584,15.75
257,3.2173,5.4916,2.292,16.7827,0.0192,6.1938,8.7597,44.3149,0.8659,15.79
258,3.9382,4.8265,2.3796,16.0618,0.0308,8.1946,8.4092,94.6746,0.9251,15.74
259,1.1618,10.5293,2.2831,18.8382,0.0276,7.0886,8.5596,55.814,0.6805,15.8
260,-3.45,5.9053,2.3058,23.45,0.018,8.7262,8.886,26.4808,0.9707,15.59
261,1.1273,2.8784,2.3038,18.8727,0.0315,9.6115,9.2171,43.3666,0.9255,15.85
262,0.7955,2.4776,2.1995,19.2045,0.0224,12.973,8.8909,41.8605,0.6815,16.09
263,3.5264,6.2851,2.3308,16.4736,0.022,13.751,8.7662,75.5245,0.57,15.95
264,-3.2718,4.0368,2.4012,23.2718,0.0151,11.8376,8.5571,30.9963,0.7032,15.87
265,-2.3891,5.9176,2.2445,22.3891,0.0255,10.2938,8.9221,45.6641,0.6332,15.79
266,-5.7373,6.2186,2.2959,25.7373,0.0116,11.3945,9.9095,44.8845,0.3512,15.73
267,-0.1545,4.4263,2.2247,20.1545,0.0183,13.9517,9.4749,62.5,0.9525,15.96
268,1.1782,6.4326,2.3044,18.8218,0.0228,11.6311,8.7418,90.5109,0.9193,15.9
269,-0.2282,11.8879,2.3453,20.2282,0.028,8.8934,8.5788,59.2255,0.9715,15.92
