,feature_66,feature_427,feature_442,feature_133,feature_3,feature_124,feature_299
59,39.7257,2.2773,0.8384,2.295,2207.0444,15.88,0.0339
60,26.2833,0.6101,1.0216,2.2808,2246.5778,15.82,0.074
61,25.8939,0.7481636035367512,0.7584,2.292883732944758,2206.3,15.832117279792191,0.0452
62,26.0522,1.1702,0.6641,2.3923,2222.0111,15.9,0.0494
63,26.2174,1.4616,0.9965,2.3122,2207.3889,15.87,0.0467
64,19.9076,2.2414,0.7506,2.4079,2168.7,15.79,0.0387
65,29.3176,1.5379,0.7015,2.2936,2160.3667,16.04,0.12570988867962482
66,23.6041,1.9706,0.9396,2.349,2175.9667,15.71,0.0644
67,24.9899,1.1539,0.8435,2.3573,2178.6889,15.87,0.0875
68,14.1135,2.0544,0.7928,2.3865,2238.5444,15.78,0.0535
69,27.9713,0.7382,0.481,2.2797,2223.0444,15.86,0.0866
70,37.532,1.3796,0.6302,2.338455899968115,2191.9,15.8145466898349,0.0813
71,24.5799,1.2366,0.6641,2.2647,2194.9556,15.83,0.0803
72,23.4468,1.5257,0.7611,2.2826,2238.1444,15.79,0.0119
73,30.0288,0.4832,0.7477,2.3161,2218.0555,15.89,0.0564
74,27.3802,1.4317,0.8471,2.2915,2204.6667,15.54,0.0551
75,27.3069,0.5758,0.6335,2.3063,2167.2,15.96,0.09
76,25.7305,1.5604,0.4254,2.2563,2231.0555,15.83,0.0342
77,22.0576,0.5481,0.7337,2.3883,2114.990567295772,15.91,0.0884
78,30.9387,1.7736,0.8136,2.2859,2199.3,15.72,0.0532
79,22.3195,0.6244,0.6927,2.2726,2175.1222,15.76,0.1084
80,23.5326,1.8291,1.0189,2.3323,2233.1556,15.97,0.0678
81,24.7337,0.5965,0.8146,2.3402,2201.0667,15.88,0.059
82,26.2439,0.5518,0.7258,2.2472,2213.9111,15.72,0.0835
83,23.2157,1.8725,0.577,2.3604,2179.2,15.86,0.0654
84,20.2591,2.1221,1.0959,2.3524,2222.3222,15.74,0.0466
85,26.3407,1.0482,0.8595,2.2445,2172.3111,15.79,0.0849
86,37.4668,1.4978,1.1815,2.3073,2213.7556,15.76,0.0355
87,21.2309,0.7851,0.8752,2.3162,2183.3111,15.75,0.0859
88,44.78379717997183,1.2405,0.8716,2.3375,2183.5,15.99,0.0517
89,28.1684,1.39,0.5194,2.212,2211.4,15.98,0.0627
90,31.4027,1.588,0.7392,2.2877,2198.5667,15.91,0.0249
91,28.9181,0.6811,1.0143,2.4167,2250.3667,15.83,0.0205
92,18.6295,1.4069,0.745,2.1996,2173.4889,16.09,0.0697
93,13.8957,1.6695,0.8435,2.2697,2173.4556,15.94,0.038
94,28.0428,0.557,0.7032,2.3936,2187.4111,15.87,0.0539
95,26.4354,0.7473,0.7643,2.2937,2216.4778,15.98,0.0536
96,29.5723,0.7797,0.9079,2.3289,2200.0666,15.94,0.0413
97,30.6875,0.6728,0.8229,2.2555,2195.4444,15.74,0.0367
98,27.7301,1.4506,0.7611,2.2915,2182.4111,15.54,0.0554
99,25.4759,0.9418,0.9726,2.3481,2211.7222,15.74,0.0824
100,25.02,1.7597,0.7928,2.3099,2186.9889,15.84,0.0394
101,27.5264,1.5321,0.869,2.2588,2170.9667,15.95,0.0525
102,28.5851,0.4657,0.466,2.2725,2227.2444,15.82,0.0921
103,26.336,0.5311,1.062,2.3177,2218.0555,15.8,0.0307
104,21.0498,1.4331,0.6163,2.2674,2223.0444,15.85,0.0881
105,24.8429,0.6266,1.0551,2.4244,2184.8778,15.78,0.0573
106,20.9393,0.9017,0.6222,2.4214,2162.7556,15.62,0.0338
107,23.8674,0.6247,0.6796,2.2949,2203.1667,15.7,0.0341
108,17.735,0.5238,0.9639,2.3672,2178.6889,15.87,0.0231
109,44.78379717997183,1.6916,0.8556,2.4,2179.0445,15.79,0.0706
110,26.254,1.2856,0.8133,2.4073,2136.4111,15.72,0.0489
111,22.9551,0.8812,0.593,2.2821,2227.9778,15.8,0.0229
112,23.7582,0.5256,0.6641,2.3471,2178.1444,15.75,0.0438
113,20.0076,0.7915,0.9274,2.2674,2223.0444,15.85,0.0659
114,36.3451,1.272,0.3973,2.3079,2213.2889,15.71,0.0661
115,26.3682,1.2353,0.7852,2.2789,2285.90517613088,15.67,0.077
116,22.7319,0.4244,1.0918,2.2728,2155.6333,15.99,0.0561
117,23.5781,1.1499,0.5779,2.2474,2172.3111,15.77,0.0666
118,17.7542,1.4744,0.8446,2.3596,2265.1889,15.79,0.0823
119,22.2504,2.741894708146578,0.5478,2.3984,2199.6334,15.92,0.0176
120,29.1501,1.4873,1.0135,2.3296,2183.1,15.71,0.0572
121,23.99180418481096,1.2939,0.7093,2.3883,2192.9807611162487,15.91,0.0534
122,44.78379717997183,1.6353,0.7574,2.3407,2224.4778,15.84,0.0332
123,25.1172,1.3654,0.593,2.4151,2170.7444,15.84,0.0465
124,23.5582,0.5748,0.8343,2.3099,2218.5778,15.84,0.0945
125,22.513,0.4496,1.1213,2.2527,2215.1778,15.81,0.0305
126,28.6073,0.4115,0.5779,2.2631,2180.5556,15.81,0.073
127,30.1818,0.8449,0.8159,2.3495,2159.0556,15.81,0.0559
128,32.1774,1.9127,0.6268,2.2711,2205.5,15.77,0.0268
129,20.2515,1.0177,0.8159,2.4201,2203.4556,15.56,0.0389
130,27.0475,1.1538,1.0541,2.3883,2114.990567295772,15.91,0.0804
131,33.7771,1.3867,0.7477,2.2989,2194.5889,15.84,0.0425
132,44.78379717997183,0.9767,0.9836,2.3344407259184194,2172.3666,15.807958544290617,0.0344
133,23.112,0.3917,0.9048,2.2588,2210.2778,15.95,0.1053
134,20.9574,1.0549,0.9175,2.2877,2195.1,15.91,0.0225
135,19.9951,2.4481,0.8235,2.3038,2197.2667,15.85,0.0519
136,25.2645,0.5565,0.811,2.3978,2218.0555,15.76,0.0559
137,44.78379717997183,1.4959,0.7574,2.3073,2205.2222,15.76,0.0828
138,29.012,2.741894708146578,0.7643,2.2771,2179.0778,16.01,0.0653
139,36.283,1.4018,0.6163,2.2216,2173.4889,16.0,0.0295
140,21.9929,0.9597,0.7139,2.2802,2224.6778,15.8,0.0358
141,30.9009,1.6516,0.9175,2.3021,2187.9889,15.77,0.0554
142,26.3771,1.2486,0.7477,2.3161,2198.7222,15.89,0.0357
143,37.8425,1.5108,0.573,2.2705,2207.9555,15.83,0.0933
144,24.1495,1.177,0.7532,2.2931,2207.1,15.71,0.0334
145,24.1581,0.6995,0.573,2.2705,2231.0555,15.83,0.0767
146,27.7378,1.507,0.7507,2.3128,2177.3222,15.9,0.0493
147,28.7957,1.6801,0.6787,2.2809,2207.9555,15.79,0.0522
148,28.4754,1.0482,0.9588,2.3063,2242.8555,15.96,0.0526
149,22.8177,0.9541,0.3963,2.3301,2201.0667,16.0,0.0559
150,28.2316,1.145,1.0186,2.4196,2266.8333,15.86,0.0513
151,30.5545,1.687,0.9683,2.298,2243.7778,15.86,0.0407
152,44.78379717997183,1.6433,1.0459,2.3997,2221.9444,15.77,0.12570988867962482
153,44.78379717997183,1.5114,0.7584,2.3237,2166.5222,15.85,0.0734
154,22.8392,1.8575,0.7059,2.298,2177.3222,15.86,0.091
155,24.7192,0.7827,0.7928,2.2928,2197.2667,15.91,0.0523
156,39.8719,1.4282,0.7524,2.3314,2171.8111,15.77,0.0458
157,21.6833,1.725,0.5955,2.2764,2196.2111,15.89,0.03
158,21.4549,1.1178,0.577,2.4201,2146.9111,15.56,0.0678
159,22.4948,1.1846,0.5194,2.2892,2221.3667,15.69,0.0853
160,33.5324,0.6766,1.1623,2.3884,2187.7888,15.85,0.0945
161,31.622,1.1462,0.8616,2.2553,2180.5556,15.76,0.0571
162,29.1444,1.068,0.5377,2.2697,2200.7333,15.94,0.0169
163,27.4264,0.61,0.7677,2.4349,2249.2556,15.77,0.0362
164,23.9846,0.9771,0.9048,2.2616,2191.1333,15.86,0.0796
165,23.2147,0.4391,0.8883,2.2909,2235.0556,15.89,0.064
166,21.8556,1.5403,0.7532,2.2859,2195.1,15.72,0.0321
167,27.0269,2.4842,0.7408,2.3715,2238.5444,15.81,0.0575
168,30.4987,0.5555,0.9332,2.4167,2200.2,15.83,0.0501
169,18.3248,1.3887,0.6576,2.3025,2178.0778,15.81,0.0495
170,34.2074,1.1199,0.8859,2.2634,2211.6,15.76,0.0667
171,20.7886,0.587,0.768,2.3099,2196.8,15.84,0.054
172,39.6865,1.7284,0.7162,2.3403,2196.6555,15.85,0.0953
173,20.1161,1.261,1.0959,2.3403,2196.6555,15.85,0.051
174,25.9809,1.126,1.0541,2.4108,2189.3556,15.84,0.029
175,25.1055,0.5593,0.9066,2.2954,2181.1889,15.59,0.0243
176,37.5213,1.3533,0.7524,2.3132,2197.2333,15.84,0.0601
177,17.4684,0.5947,0.8446,2.3471,2239.4223,15.75,0.0636
178,26.7205,1.2194,0.8859,2.2596,2218.6223,15.74,0.0779
179,24.6207,1.429,0.7277,2.2711,2195.9778,15.77,0.0478
180,29.7075,1.3251,0.8146,2.2967,2167.2,15.94,0.0193
181,44.78379717997183,0.6224,0.9059,2.3078,2178.7333,15.88,0.0588
182,34.3077,1.3425,0.9276,2.292,2243.8556,15.79,0.0412
183,24.0276,1.2937,0.6385,2.2826,2236.1111,15.79,0.0989
184,25.5747,1.3582,0.7852,2.2809,2209.6667,15.79,0.0435
185,22.1925,1.4507,1.0189,2.3453,2236.0667,15.92,0.0492
186,22.3699,0.948,0.8556,2.3194,2214.7111,15.9,0.1044
187,42.2381,0.8327,1.148,2.3378,2181.5111,15.81,0.0367
188,25.6635,1.6932,0.685,2.2569,2203.4445,15.84,0.059
189,23.1222,1.5101,0.6796,2.2732,2173.2778,15.73,0.0425
190,30.222,1.42,0.6385,2.212,2173.2778,15.98,0.0456
191,41.5043,0.9558,0.7898,2.3313,2183.4333,15.91,0.026
192,44.78379717997183,1.4775,0.9087,2.3314,2139.2667,15.77,0.0521
193,22.2242,0.8521,0.9735,2.3453,2184.8889,15.92,0.0405
194,24.4119,1.9183,1.0078,2.3401,2233.1556,15.94,0.018
195,25.4657,1.036,0.8859,2.4023,2226.0667,16.04,0.0322
196,26.114,0.9145,0.6257,2.3207,2181.0444,15.83,0.0834
197,26.9505,1.1351,0.5888,2.3162,2141.0667,15.75,0.0507
198,32.7145,1.0438,0.7954,2.2647,2202.3556,15.83,0.0682
199,21.6961,0.499,0.8235,2.3834,2197.6444,15.83,0.062
200,23.7588,1.1126,0.4749,2.2392,2203.1667,15.83,0.0832
201,26.5186,1.0423,0.8616,2.3883,2228.7222,15.91,0.0618
202,24.5318,1.4033,0.9525,2.2959,2180.8889,15.73,0.0613
203,22.9188,0.6153,0.6644,2.3479,2232.0778,15.58,0.0694
204,22.1064,1.1443,0.4382,2.349,2194.8,15.71,0.0443
205,23.8635,1.416,0.8198,2.2949,2200.1222,15.7,0.0452
206,31.6904,1.5751,0.7158,2.3038,2185.8111,15.91,0.0542
207,19.9232,1.1092,0.9238,2.2989,2218.8778,15.84,0.0678
208,23.8635,0.7485,0.7928,2.307,2176.6334,15.9,0.0443
209,16.8961,0.589,0.713,2.2989,2188.7111,15.84,0.0435
210,18.8096,1.4645,0.4389,2.2773,2234.5222,15.97,0.0484
211,29.6277,1.3408,0.4817,2.2749,2221.9778,15.79,0.0635
212,22.1063,0.6104,0.9725,2.295,2208.4444,15.88,0.0772
213,28.2022,0.8961,0.832,2.3289,2200.0666,15.94,0.0293
214,29.2332,0.5862,0.7681,2.3503,2159.0556,15.87,0.0349
215,36.1696,0.7666,0.6268,2.2732,2192.1889,15.71,0.0481
216,21.0159,0.8832,0.7865,2.3124,2210.3556,15.93,0.0188
217,37.0555,0.5426,0.9059,2.3144,2197.6778,15.52223904106658,0.0475
218,34.578,2.3536,0.811,2.2881,2218.5778,15.87,0.0447
219,32.6371,0.7727,1.026,2.2982,2177.4333,15.57,0.0373
220,34.6022,0.8833,0.7015,2.3954,2221.9444,15.78,0.12570988867962482
221,20.0533,0.7133,1.0393,2.2909,2235.0556,15.89,0.0564
222,26.314,0.9055,0.9525,2.2982,2192.7556,15.57,0.0339
223,26.5379,1.4885,0.78,2.3259,2230.7555,15.75,0.059
224,28.3035,0.7743,0.6373,2.2631,2210.2778,15.81,0.0548
225,19.1593,1.5638,0.596,2.3834,2185.9333,15.83,0.0513
226,24.6278,1.1976,0.7611,2.3138,2137.6111,15.71,0.0505
227,27.0311,0.8222,0.9091,2.4172,2178.5889,15.86,0.0612
228,38.8982,1.7323,0.7584,2.3248,2166.5222,15.9,0.0284
229,22.8831,1.2968,0.6163,2.2939,2189.6778,15.83,0.0194
230,27.6339,1.174,0.7558,2.2631,2216.5,15.81,0.0313
231,29.5672,0.5358,0.8452,2.2604,2177.0333,15.76,0.0703
232,31.7775,0.6779,0.9075,2.4023,2231.6111,16.04,0.0625
233,38.0547,1.697,0.8384,2.2881,2224.0,15.87,0.0401
234,20.9881,0.4833,0.687,2.3132,2205.2222,15.84,0.0443
235,27.7301,1.2029,0.6302,2.3179,2172.9778,15.92,0.0569
236,15.7033,0.9954,0.9444,2.418,2192.3778,15.86,0.0314
237,24.9562,1.0296,0.8569,2.2868,2167.4222,15.78,0.036
238,13.5705,0.9166,0.5374,2.3984,2208.6556,15.92,0.0098
239,24.1408,0.8871,0.4782,2.2729,2206.4,15.79,0.0603
240,30.1925,0.9429,0.7719,2.2647,2194.9556,15.83,0.0541
241,21.8247,0.5923,0.7613,2.3997,2138.8778,15.77,0.039
242,23.8107,1.911,0.6641,2.2445,2192.5556,15.79,0.083
243,31.8429,1.7271,0.684,2.2527,2215.5111,15.91,0.088
244,25.0547,0.5866,0.6373,2.2445,2247.3666,15.79,0.0466
245,21.0858,0.4517,0.9726,2.4073,2189.8778,15.72,0.0472
246,24.6357,1.2765,1.1248,2.2697,2163.5889,15.94,0.0483
247,29.8877,0.5368,0.9332,2.4167,2219.7667,15.83,0.0571
248,31.4055,1.6067,0.4744,2.2757,2192.1889,15.71,0.0409
249,24.3734,0.87,0.481,2.2674,2210.8556,15.85,0.027
250,30.1905,1.6506,0.5329,2.2544,2187.3444,15.77,0.0898
251,14.406,2.0383,0.5593,2.3038,2243.7778,15.85,0.0576
252,30.3384,1.33,0.9186,2.3079,2208.9,15.71,0.0679
253,19.7743,2.3024,0.8735,2.3592,2220.7111,15.78,0.0444
254,26.841,1.0179,1.1638,2.2728,2155.6333,15.99,0.0249
255,30.0271,1.197,0.7337,2.2474,2213.9111,15.77,0.0442
256,39.587,0.9742,0.7584,2.4153,2206.5112,15.75,0.0485
257,22.0794,1.6752,0.8659,2.292,2243.8556,15.79,0.0344
258,20.8163,0.5671,0.9251,2.3796,2197.6778,15.74,0.0348
259,26.3647,1.1396,0.6805,2.2831,2188.6,15.8,0.0506
260,32.4091,1.0539,0.9707,2.3058,2204.2889,15.59,0.0432
261,24.2043,2.4515,0.9255,2.3038,2178.7333,15.85,0.0387
262,25.1914,0.5783,0.6815,2.1995,2200.1222,16.09,0.0757
263,21.3934,0.9338,0.57,2.3308,2217.8667,15.95,0.0571
264,29.0059,1.1257,0.7032,2.4012,2171.5,15.87,0.0717
265,25.6619,1.1328,0.6332,2.2445,2201.8666,15.79,0.056
266,34.4785,1.4004,0.3512,2.2959,2205.5,15.73,0.0663
267,26.2155,0.672,0.9525,2.2247,2172.8111,15.96,0.0822
268,20.0249,0.9178,0.9193,2.3044,2183.3444,15.9,0.0639
269,28.6915,0.9433,0.9715,2.3453,2229.3333,15.92,0.0379
270,27.8586,0.9332,0.8336,2.3323,2236.0667,15.97,0.0305
271,15.585,0.8101,0.7121,2.3149,2224.0,15.88,0.0547
272,28.8169,0.6411,0.6611,2.2337,2183.5889,15.91,0.0542
273,27.1415,1.0165,0.8716,2.2868,2199.6334,15.77,0.0303
274,18.6383,0.9655,0.6644,2.3932,2260.2222,15.81,0.0296
275,28.2459,1.8361,0.7663,2.2757,2217.0,15.71,0.0395
276,28.4192,0.6801,0.768,2.3341,2167.9444,15.98,0.0427
277,30.4269,0.543,0.593,2.4349,2200.2,15.77,0.0589
278,24.1042,1.5766,0.9066,2.2886,2192.7556,15.73,0.049
279,29.7647,1.1059,0.6903,2.2474,2172.3111,15.77,0.028
280,19.9304,1.4043,0.8089,2.2674,2200.1936766333606,15.84,0.0317
281,29.085,1.066,0.9072,2.3323,2214.9333,15.98,0.0517
282,26.0255,0.8903,0.8705,2.2646,2246.5778,15.89,0.0693
283,24.4489,1.3825,0.9735,2.3625,2229.3333,15.8,0.0364
284,27.8129,0.8107,0.6787,2.2757,2217.0,15.71,0.0512
285,23.195,0.9669,0.815,2.2647,2195.5,15.83,0.0431
286,36.7408,0.7686,1.0765,2.4241,2244.9778,15.88,0.0452
287,37.4995,1.2543,0.8007,2.3348,2239.3,15.84,0.0705
288,29.5935,2.1387,1.1869,2.3573,2172.5333,15.87,0.077
289,32.3553,0.738,0.714,2.416,2201.129672258078,15.89,0.0499
290,21.2995,1.1757,0.8659,2.2671,2241.1778,15.73,0.0778
291,20.4284,2.051,1.0047,2.3025,2186.9889,15.81,0.0436
292,19.9683,0.8661,0.7664,2.3984,2200.9556,15.92,0.0682
293,25.7524,0.5952,0.8571,2.2671,2188.5111,15.73,0.0418
294,25.8775,1.0047,1.0918,2.2785,2192.7889,15.77,0.0762
295,23.4612,1.3849,0.7153,2.2771,2124.8444,16.01,0.0463
296,22.2958,1.2098,0.6857,2.3932,2244.9778,15.81,0.0688
297,20.1338,1.2667,0.7674,2.2797,2218.8111,15.84,0.0322
298,38.597,0.6741,0.8384,2.3997,2248.4222,15.77,0.0276
299,12.0446,0.8297,0.7316,2.2773,2170.9667,15.97,0.0814
300,35.4148,2.448,0.7059,2.3132,2196.6889,15.91,0.0884
301,26.26,0.5796,1.1623,2.416,2231.9555,15.89,0.0558
302,20.1913,0.6628,0.7724,2.2717,2199.6556,15.85,0.0739
303,32.3293,2.3988,0.8962,2.3695,2203.0445,15.79,0.0481
304,19.9831,1.267,0.869,2.2588,2173.4556,15.95,0.0598
305,22.9633,0.9146,0.9729,2.2967,2183.3444,15.94,0.0539
306,21.7752,1.8588,0.8161,2.349,2134.7445,15.71,0.0569
307,26.9923,1.1613,0.5066,2.2939,2205.2555,15.83,0.0583
308,25.8412,1.0562,0.6222,2.4214,2245.3667,15.62,0.0428
309,44.78379717997183,1.478,1.0803,2.3314,2139.2667,15.77,0.0597
310,30.1316,1.8196,0.5677,2.3052,2243.7778,15.89,0.0556
311,22.863,0.661,0.5858,2.2729,2206.9667,15.79,0.0651
312,25.5177,1.9245,1.1054,2.3216,2195.1222,15.89,0.0371
313,24.6273,2.741894708146578,0.9826,2.3257,2171.8556,16.01,0.0518
314,28.4535,0.5624,0.9329,2.2604,2216.8111,15.76,0.0748
315,30.6183,1.0395,0.9707,2.2453,2192.7556,15.8,0.0198
316,25.5848,0.5054,0.604,2.2965,2167.2,15.96,0.1118
317,30.3896,1.3557,0.687,2.3296,2170.9667,15.71,0.047
318,28.8331,1.6262,0.9329,2.2711,2195.9778,15.77,0.083
319,44.78379717997183,0.663,1.0551,2.4067,2221.9444,15.75,0.0693
320,19.9156,0.6777,0.7642,2.3073,2202.1222,15.76,0.0401
321,27.1184,0.8503,0.7532,2.3187,2192.7889,15.8,0.0108
322,25.2629,0.7847,0.8336,2.2868,2205.7,15.77,0.0734
323,32.6343,1.1404,1.148,2.3505,2186.2667,15.85,0.0394
324,25.2855,0.5176,1.0338,2.3073,2213.7556,15.76,0.0521
325,26.308,0.4807,1.0359,2.2553,2206.1444,15.76,0.0412
326,22.6131,0.547,1.0323,2.3796,2224.0,15.74,0.0487
327,32.7382,0.5159,1.0478,2.4439,2231.6111,15.57,0.0842
328,25.4566,0.4382,0.8435,2.3162,2179.0778,15.75,0.0454
329,23.6862,1.1866,0.8807,2.2697,2200.7333,15.94,0.059
330,23.229,1.0777,0.7643,2.3063,2216.4778,15.96,0.0726
331,26.658,1.8979,1.0459,2.3237,2180.6778,15.85,0.12570988867962482
332,21.1288,0.4907,1.0338,2.3073,2213.7556,15.76,0.0361
333,27.0904,0.9052,0.9075,2.2337,2189.6778,15.91,0.0593
334,18.6087,1.2833,0.8681,2.3583,2180.1556,15.89,0.0717
335,28.3785,0.6415,0.577,2.3063,2216.4778,15.96,0.0293
336,26.5918,1.2209,0.9276,2.1996,2172.8111,16.09,0.0564
337,28.1825,1.0556,0.8155,2.3301,2177.4333,15.9,0.0427
338,34.1825,1.1885,0.7677,2.3797,2244.5,15.88,0.0437
339,39.9106,2.4641,0.7747,2.31,2184.8889,15.92,0.0452
340,25.7025,1.4643,0.8231,2.3257,2171.8556,16.01,0.0647
341,25.5875,2.1837,0.7507,2.2928,2243.7778,15.91,0.0368
342,23.8478,1.2156,0.9332,2.3331,2194.5889,15.75,0.0834
343,30.2685,1.0912,0.9175,2.3021,2187.9889,15.77,0.0278
344,35.7866,1.9645,0.9059,2.3149,2196.6889,15.88,0.056
345,23.5681,1.4277,0.869,2.2588,2172.1223,15.95,0.0342
346,40.8846,0.6209,0.3973,2.2949,2203.1667,15.7,0.0466
347,23.7727,1.9923,0.8041,2.3978,2218.0555,15.76,0.0744
348,31.4605,0.8899,1.0189,2.3257,2171.8556,16.01,0.0488
349,31.9995,1.4218,0.4744,2.3021,2216.8333,15.77,0.0809
350,22.5764,1.9578,0.8807,2.3695,2177.0222,15.79,0.0496
351,32.11491058611678,1.0355,0.6644,2.4241,2269.2556,15.88,0.0614
352,23.241,1.1257,0.8435,2.3296,2170.9667,15.71,0.0468
353,18.5853,1.4659,1.0891,2.3403,2174.8666,15.76,0.12570988867962482
354,29.6922,0.4922,0.685,2.2563,2243.8556,15.75,0.0219
355,33.7075,1.3401,0.7719,2.2527,2188.5444,15.81,0.0417
356,30.1518,1.746,0.768,2.3604,2236.0667,15.86,0.057
357,29.1285,0.8158,0.8159,2.3323,2171.3222,15.97,0.0421
358,25.8642,0.9396,1.0631,2.2553,2213.9111,15.76,0.0371
359,20.8541,0.54,1.0216,2.3275,2190.1555,15.84,0.102
360,20.1394,0.7954,0.8345,2.31,2212.7111,15.92,0.0476
361,22.8619,0.6347,0.8047,2.4151,2218.7778,15.84,0.0389
362,32.5387,1.7394,1.0323,2.3101,2177.3222,15.88,0.0571
363,20.8256,1.2146,1.0216,2.3124,2220.0445,15.87,0.0852
364,44.78379717997183,0.8075,0.9413,2.3099,2196.6889,15.84,0.073
365,44.0701,1.1821,0.9393,2.3756,2171.9,15.72,0.0352
366,29.5895,1.0292,1.0393,2.3503,2159.0556,15.87,0.0498
367,24.0616,0.5019,0.745,2.2671,2170.7444,15.73,0.0425
368,44.78379717997183,1.8287,0.6302,2.3026,2285.90517613088,15.81,0.12570988867962482
369,20.4431,1.8924,1.062,2.3132,2208.4444,15.91,0.0388
370,23.2908,2.3473,1.0338,2.3672,2180.0556,15.87,0.0362
371,23.9046,1.5431,0.5194,2.2717,2199.6556,15.85,0.0775
372,24.8245,1.3016,0.593,2.2954,2266.8333,15.71,0.0402
373,26.1208,1.2793,0.6222,2.3207,2174.7555,15.83,0.0509
374,28.0815,1.0089,0.587,2.2569,2194.9556,15.84,0.0253
375,23.3059,1.1364,0.687,2.3099,2186.9889,15.84,0.0424
376,28.8578,1.2126,0.7506,2.4201,2165.0333,15.9,0.1222
377,44.78379717997183,0.8832,1.0803,2.4067,2221.9444,15.75,0.0635
