,No.,combination,n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model,balancing_sampling_technique,cols,cf_matrix,accuracy,f1,precision,recall,sensitivity,type_2_error_FP,type_1_error_FN,auc,log_loss_,cohen_kappa_score_,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,sensitivity_train,type_2_error_FP_train,type_1_error_FN_train,auc_train
13,14,3s & MICE & RFE__RF & SMOTE & RF,13,3s,MICE,RFE__RF,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_112', 'feature_122', 'feature_130', 'feature_131',
       'feature_206', 'feature_248', 'feature_383', 'feature_427'],
      dtype='object')","[[244  49]
 [ 10  11]]",0.812101911,0.271604938,0.183333333,0.523809524,0.523809524,49,10,0.678287014,6.489894865,0.191498647,"[[ 987  183]
 [  28 1142]]",0.90982906,0.915430862,0.861886792,0.976068376,0.976068376,183,28,0.90982906
14,15,3s & MICE & nothing & ROSE & RF,223,3s,MICE,nothing,ROSE,"Index(['feature_1', 'feature_2', 'feature_3', 'feature_4', 'feature_5',
       'feature_7', 'feature_8', 'feature_9', 'feature_10', 'feature_11',
       ...
       'feature_571', 'feature_572', 'feature_573', 'feature_574',
       'feature_579', 'feature_580', 'feature_581', 'feature_582',
       'feature_583', 'feature_584'],
      dtype='object', length=223)","[[293   0]
 [ 21   0]]",0.933121019,0,0,0,0,0,21,0.5,2.309918167,0,"[[1170    0]
 [  89 1081]]",0.961965812,0.960462017,1,0.923931624,0.923931624,0,89,0.961965812
15,16,3s & MICE & nothing & SMOTE & RF,223,3s,MICE,nothing,SMOTE,"Index(['feature_1', 'feature_2', 'feature_3', 'feature_4', 'feature_5',
       'feature_7', 'feature_8', 'feature_9', 'feature_10', 'feature_11',
       ...
       'feature_571', 'feature_572', 'feature_573', 'feature_574',
       'feature_579', 'feature_580', 'feature_581', 'feature_582',
       'feature_583', 'feature_584'],
      dtype='object', length=223)","[[280  13]
 [ 14   7]]",0.914012739,0.341463415,0.35,0.333333333,0.333333333,13,14,0.644482366,2.96992789,0.295496094,"[[1123   47]
 [   5 1165]]",0.977777778,0.978169605,0.961221122,0.995726496,0.995726496,47,5,0.977777778
16,17,nothing & knn__uniform & BoS__shap & ROSE & RF,12,nothing,knn__uniform,BoS__shap,ROSE,"Index(['feature_60', 'feature_478', 'feature_421', 'feature_349', 'feature_65',
       'feature_435', 'feature_124', 'feature_442', 'feature_332',
       'feature_34', 'feature_22', 'feature_563'],
      dtype='object')","[[240  53]
 [  9  12]]",0.802547771,0.279069767,0.184615385,0.571428571,0.571428571,53,9,0.6952706,6.81989336,0.197989619,"[[983 187]
 [209 961]]",0.830769231,0.829163072,0.837108014,0.821367521,0.821367521,187,209,0.830769231
17,18,nothing & knn__uniform & BoS__shap & SMOTE & RF,12,nothing,knn__uniform,BoS__shap,SMOTE,"Index(['feature_60', 'feature_478', 'feature_421', 'feature_349', 'feature_65',
       'feature_435', 'feature_124', 'feature_442', 'feature_332',
       'feature_34', 'feature_22', 'feature_563'],
      dtype='object')","[[248  45]
 [ 10  11]]",0.824840764,0.285714286,0.196428571,0.523809524,0.523809524,45,10,0.685112953,6.049900266,0.208741867,"[[1000  170]
 [ 142 1028]]",0.866666667,0.868243243,0.858096828,0.878632479,0.878632479,170,142,0.866666667
18,19,nothing & knn__uniform & BoP & ROSE & RF,11,nothing,knn__uniform,BoP,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_122', 'feature_131', 'feature_206', 'feature_349',
       'feature_511', 'feature_520'],
      dtype='object')","[[235  58]
 [  8  13]]",0.789808917,0.282608696,0.183098592,0.619047619,0.619047619,58,8,0.7105477,7.259890505,0.200030881,"[[988 182]
 [221 949]]",0.827777778,0.824858757,0.83908046,0.811111111,0.811111111,182,221,0.827777778
19,20,nothing & knn__uniform & BoP & SMOTE & RF,11,nothing,knn__uniform,BoP,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_122', 'feature_131', 'feature_206', 'feature_349',
       'feature_511', 'feature_520'],
      dtype='object')","[[238  55]
 [ 12   9]]",0.786624204,0.211764706,0.140625,0.428571429,0.428571429,55,12,0.620429059,7.369878969,0.123489709,"[[ 972  198]
 [  40 1130]]",0.898290598,0.904723779,0.850903614,0.965811966,0.965811966,198,40,0.898290598
20,21,nothing & knn__uniform & RFE__RF & ROSE & RF,14,nothing,knn__uniform,RFE__RF,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_116', 'feature_122', 'feature_130', 'feature_131',
       'feature_206', 'feature_320', 'feature_337', 'feature_461',
       'feature_511'],
      dtype='object')","[[233  60]
 [  8  13]]",0.78343949,0.276595745,0.178082192,0.619047619,0.619047619,60,8,0.707134731,7.479887805,0.192741021,"[[994 176]
 [204 966]]",0.837606838,0.835640138,0.845884413,0.825641026,0.825641026,176,204,0.837606838
21,22,nothing & knn__uniform & RFE__RF & SMOTE & RF,14,nothing,knn__uniform,RFE__RF,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_116', 'feature_122', 'feature_130', 'feature_131',
       'feature_206', 'feature_320', 'feature_337', 'feature_461',
       'feature_511'],
      dtype='object')","[[248  45]
 [ 13   8]]",0.815286624,0.216216216,0.150943396,0.380952381,0.380952381,45,13,0.613684382,6.379888576,0.133174679,"[[1008  162]
 [  37 1133]]",0.914957265,0.919269777,0.874903475,0.968376068,0.968376068,162,37,0.914957265
22,23,nothing & knn__uniform & nothing & ROSE & RF,226,nothing,knn__uniform,nothing,ROSE,"Index(['feature_1', 'feature_2', 'feature_3', 'feature_4', 'feature_5',
       'feature_7', 'feature_8', 'feature_9', 'feature_10', 'feature_11',
       ...
       'feature_573', 'feature_574', 'feature_579', 'feature_580',
       'feature_582', 'feature_583', 'feature_584', 'feature_587',
       'feature_588', 'feature_590'],
      dtype='object', length=226)","[[293   0]
 [ 21   0]]",0.933121019,0,0,0,0,0,21,0.5,2.309918167,0,"[[1170    0]
 [  87 1083]]",0.962820513,0.96138482,1,0.925641026,0.925641026,0,87,0.962820513
23,24,nothing & knn__uniform & nothing & SMOTE & RF,226,nothing,knn__uniform,nothing,SMOTE,"Index(['feature_1', 'feature_2', 'feature_3', 'feature_4', 'feature_5',
       'feature_7', 'feature_8', 'feature_9', 'feature_10', 'feature_11',
       ...
       'feature_573', 'feature_574', 'feature_579', 'feature_580',
       'feature_582', 'feature_583', 'feature_584', 'feature_587',
       'feature_588', 'feature_590'],
      dtype='object', length=226)","[[275  18]
 [ 14   7]]",0.898089172,0.304347826,0.28,0.333333333,0.333333333,18,14,0.635949943,3.519921138,0.249813349,"[[1120   50]
 [   6 1164]]",0.976068376,0.976510067,0.958813839,0.994871795,0.994871795,50,6,0.976068376
24,25,nothing & MICE & BoS__shap & ROSE & RF,11,nothing,MICE,BoS__shap,ROSE,"Index(['feature_60', 'feature_478', 'feature_421', 'feature_125',
       'feature_349', 'feature_65', 'feature_299', 'feature_442',
       'feature_332', 'feature_22', 'feature_563'],
      dtype='object')","[[245  48]
 [  9  12]]",0.818471338,0.296296296,0.2,0.571428571,0.571428571,48,9,0.703803023,6.269900112,0.218905473,"[[1012  158]
 [ 187  983]]",0.852564103,0.850713977,0.861524978,0.84017094,0.84017094,158,187,0.852564103
25,26,nothing & MICE & BoS__shap & SMOTE & RF,11,nothing,MICE,BoS__shap,SMOTE,"Index(['feature_60', 'feature_478', 'feature_421', 'feature_125',
       'feature_349', 'feature_65', 'feature_299', 'feature_442',
       'feature_332', 'feature_22', 'feature_563'],
      dtype='object')","[[247  46]
 [ 10  11]]",0.821656051,0.282051282,0.192982456,0.523809524,0.523809524,46,10,0.683406468,6.159898916,0.20427188,"[[1027  143]
 [ 154 1016]]",0.873076923,0.872477458,0.876617774,0.868376068,0.868376068,143,154,0.873076923
26,27,nothing & MICE & BoP & ROSE & RF,14,nothing,MICE,BoP,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_118', 'feature_122', 'feature_130',
       'feature_131', 'feature_206', 'feature_248', 'feature_349',
       'feature_383'],
      dtype='object')","[[237  56]
 [  9  12]]",0.792993631,0.269662921,0.176470588,0.571428571,0.571428571,56,9,0.690151146,7.149889309,0.186528497,"[[ 975  195]
 [ 168 1002]]",0.844871795,0.846641318,0.837092732,0.856410256,0.856410256,195,168,0.844871795
27,28,nothing & MICE & BoP & SMOTE & RF,14,nothing,MICE,BoP,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_118', 'feature_122', 'feature_130',
       'feature_131', 'feature_206', 'feature_248', 'feature_349',
       'feature_383'],
      dtype='object')","[[240  53]
 [  9  12]]",0.802547771,0.279069767,0.184615385,0.571428571,0.571428571,53,9,0.6952706,6.81989336,0.197989619,"[[ 981  189]
 [  30 1140]]",0.906410256,0.912364946,0.85778781,0.974358974,0.974358974,189,30,0.906410256
28,29,nothing & MICE & RFE__RF & ROSE & RF,12,nothing,MICE,RFE__RF,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_103', 'feature_122', 'feature_131', 'feature_206',
       'feature_248', 'feature_383', 'feature_427'],
      dtype='object')","[[233  60]
 [ 11  10]]",0.77388535,0.21978022,0.142857143,0.476190476,0.476190476,60,11,0.63570616,7.809876114,0.130295701,"[[982 188]
 [195 975]]",0.836324786,0.835833691,0.838349097,0.833333333,0.833333333,188,195,0.836324786
29,30,nothing & MICE & RFE__RF & SMOTE & RF,12,nothing,MICE,RFE__RF,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_103', 'feature_122', 'feature_131', 'feature_206',
       'feature_248', 'feature_383', 'feature_427'],
      dtype='object')","[[244  49]
 [ 11  10]]",0.808917197,0.25,0.169491525,0.476190476,0.476190476,49,11,0.654477491,6.599890968,0.167918028,"[[ 982  188]
 [  32 1138]]",0.905982906,0.911858974,0.858220211,0.972649573,0.972649573,188,32,0.905982906
30,31,nothing & MICE & nothing & ROSE & RF,223,nothing,MICE,nothing,ROSE,"Index(['feature_1', 'feature_2', 'feature_3', 'feature_4', 'feature_5',
       'feature_7', 'feature_8', 'feature_9', 'feature_10', 'feature_11',
       ...
       'feature_571', 'feature_572', 'feature_573', 'feature_574',
       'feature_579', 'feature_580', 'feature_581', 'feature_582',
       'feature_583', 'feature_584'],
      dtype='object', length=223)","[[293   0]
 [ 21   0]]",0.933121019,0,0,0,0,0,21,0.5,2.309918167,0,"[[1170    0]
 [  89 1081]]",0.961965812,0.960462017,1,0.923931624,0.923931624,0,89,0.961965812
31,32,nothing & MICE & nothing & SMOTE & RF,223,nothing,MICE,nothing,SMOTE,"Index(['feature_1', 'feature_2', 'feature_3', 'feature_4', 'feature_5',
       'feature_7', 'feature_8', 'feature_9', 'feature_10', 'feature_11',
       ...
       'feature_571', 'feature_572', 'feature_573', 'feature_574',
       'feature_579', 'feature_580', 'feature_581', 'feature_582',
       'feature_583', 'feature_584'],
      dtype='object', length=223)","[[280  13]
 [ 14   7]]",0.914012739,0.341463415,0.35,0.333333333,0.333333333,13,14,0.644482366,2.96992789,0.295496094,"[[1123   47]
 [   5 1165]]",0.977777778,0.978169605,0.961221122,0.995726496,0.995726496,47,5,0.977777778
