,No.,combination,n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model,balancing_sampling_technique,cols,cf_matrix,accuracy,f1,precision,recall,specificity,type_1_error_FP,type_2_error_FN,auc,log_loss_,cohen_kappa_score_,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,specificity_train,type_1_error_FP_train,type_2_error_FN_train,auc_train
10,11,3s & MICE & BoP & ROSE & RF,14,3s,MICE,BoP,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_113', 'feature_122', 'feature_130',
       'feature_131', 'feature_206', 'feature_248', 'feature_349',
       'feature_383'],
      dtype='object')","[[241  52]
 [  9  12]]",0.8057324840764332,0.2823529411764706,0.1875,0.5714285714285714,0.5714285714285714,52,9,0.696977084349098,6.709894710687651,0.2019831680693276,"[[ 971  199]
 [ 165 1005]]",0.8444444444444444,0.8466722830665544,0.834717607973422,0.8589743589743589,0.8589743589743589,199,165,0.8444444444444444
11,12,3s & MICE & BoP & SMOTE & RF,13,3s,MICE,BoP,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_122', 'feature_130', 'feature_131',
       'feature_206', 'feature_248', 'feature_349', 'feature_383'],
      dtype='object')","[[244  49]
 [ 10  11]]",0.8121019108280255,0.2716049382716049,0.18333333333333332,0.5238095238095238,0.5238095238095238,49,10,0.6782870144644888,6.489894864884746,0.19149864711530062,"[[ 984  186]
 [  33 1137]]",0.9064102564102564,0.9121540312876053,0.8594104308390023,0.9717948717948718,0.9717948717948718,186,33,0.9064102564102564
12,13,3s & MICE & RFE__RF & ROSE & RF,15,3s,MICE,RFE__RF,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_91', 'feature_112', 'feature_122', 'feature_130',
       'feature_131', 'feature_154', 'feature_342', 'feature_383',
       'feature_461', 'feature_520'],
      dtype='object')","[[236  57]
 [ 10  11]]",0.7866242038216561,0.24719101123595508,0.16176470588235295,0.5238095238095238,0.5238095238095238,57,10,0.664635137331383,7.369884062141838,0.16149860502192104,"[[ 993  177]
 [ 163 1007]]",0.8547008547008547,0.8555649957519117,0.8505067567567568,0.8606837606837607,0.8606837606837607,177,163,0.8547008547008548
13,14,3s & MICE & RFE__RF & SMOTE & RF,13,3s,MICE,RFE__RF,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_112', 'feature_122', 'feature_130', 'feature_131',
       'feature_206', 'feature_248', 'feature_383', 'feature_427'],
      dtype='object')","[[244  49]
 [ 10  11]]",0.8121019108280255,0.2716049382716049,0.18333333333333332,0.5238095238095238,0.5238095238095238,49,10,0.6782870144644888,6.489894864884746,0.19149864711530062,"[[ 987  183]
 [  28 1142]]",0.9098290598290598,0.9154308617234469,0.8618867924528302,0.976068376068376,0.976068376068376,183,28,0.9098290598290598
14,15,3s & MICE & nothing & ROSE & RF,223,3s,MICE,nothing,ROSE,"Index(['feature_1', 'feature_2', 'feature_3', 'feature_4', 'feature_5',
       'feature_7', 'feature_8', 'feature_9', 'feature_10', 'feature_11',
       ...
       'feature_571', 'feature_572', 'feature_573', 'feature_574',
       'feature_579', 'feature_580', 'feature_581', 'feature_582',
       'feature_583', 'feature_584'],
      dtype='object', length=223)","[[293   0]
 [ 21   0]]",0.9331210191082803,0.0,0.0,0.0,0.0,0,21,0.5,2.3099181665386137,0.0,"[[1170    0]
 [  89 1081]]",0.961965811965812,0.9604620168813861,1.0,0.923931623931624,0.923931623931624,0,89,0.961965811965812
15,16,3s & MICE & nothing & SMOTE & RF,223,3s,MICE,nothing,SMOTE,"Index(['feature_1', 'feature_2', 'feature_3', 'feature_4', 'feature_5',
       'feature_7', 'feature_8', 'feature_9', 'feature_10', 'feature_11',
       ...
       'feature_571', 'feature_572', 'feature_573', 'feature_574',
       'feature_579', 'feature_580', 'feature_581', 'feature_582',
       'feature_583', 'feature_584'],
      dtype='object', length=223)","[[280  13]
 [ 14   7]]",0.9140127388535032,0.3414634146341463,0.35,0.3333333333333333,0.3333333333333333,13,14,0.6444823663253697,2.9699278899018506,0.2954960943992023,"[[1123   47]
 [   5 1165]]",0.9777777777777777,0.9781696053736357,0.9612211221122112,0.9957264957264957,0.9957264957264957,47,5,0.9777777777777779
16,17,nothing & knn__uniform & BoS__shap & ROSE & RF,12,nothing,knn__uniform,BoS__shap,ROSE,"Index(['feature_60', 'feature_478', 'feature_421', 'feature_349', 'feature_65',
       'feature_435', 'feature_124', 'feature_442', 'feature_332',
       'feature_34', 'feature_22', 'feature_563'],
      dtype='object')","[[240  53]
 [  9  12]]",0.802547770700637,0.27906976744186046,0.18461538461538463,0.5714285714285714,0.5714285714285714,53,9,0.6952705997074597,6.8198933603447855,0.19798961852187524,"[[983 187]
 [209 961]]",0.8307692307692308,0.8291630716134598,0.8371080139372822,0.8213675213675213,0.8213675213675213,187,209,0.8307692307692307
17,18,nothing & knn__uniform & BoS__shap & SMOTE & RF,12,nothing,knn__uniform,BoS__shap,SMOTE,"Index(['feature_60', 'feature_478', 'feature_421', 'feature_349', 'feature_65',
       'feature_435', 'feature_124', 'feature_442', 'feature_332',
       'feature_34', 'feature_22', 'feature_563'],
      dtype='object')","[[248  45]
 [ 10  11]]",0.8248407643312102,0.2857142857142857,0.19642857142857142,0.5238095238095238,0.5238095238095238,45,10,0.6851129530310417,6.0499002662561985,0.20874186749748014,"[[1000  170]
 [ 142 1028]]",0.8666666666666667,0.8682432432432432,0.8580968280467446,0.8786324786324786,0.8786324786324786,170,142,0.8666666666666666
18,19,nothing & knn__uniform & BoP & ROSE & RF,11,nothing,knn__uniform,BoP,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_122', 'feature_131', 'feature_206', 'feature_349',
       'feature_511', 'feature_520'],
      dtype='object')","[[235  58]
 [  8  13]]",0.7898089171974523,0.2826086956521739,0.18309859154929578,0.6190476190476191,0.6190476190476191,58,8,0.7105477003087924,7.259890505461963,0.20003088087701681,"[[988 182]
 [221 949]]",0.8277777777777777,0.8248587570621468,0.8390804597701149,0.8111111111111111,0.8111111111111111,182,221,0.8277777777777777
19,20,nothing & knn__uniform & BoP & SMOTE & RF,11,nothing,knn__uniform,BoP,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_122', 'feature_131', 'feature_206', 'feature_349',
       'feature_511', 'feature_520'],
      dtype='object')","[[238  55]
 [ 12   9]]",0.7866242038216561,0.2117647058823529,0.140625,0.42857142857142855,0.42857142857142855,55,12,0.6204290589956118,7.369878969164576,0.12348970919090074,"[[ 972  198]
 [  40 1130]]",0.8982905982905983,0.9047237790232187,0.8509036144578314,0.9658119658119658,0.9658119658119658,198,40,0.8982905982905982
